profit,params,group
10475.598000000016,4115_4115,1
10478.358000000017,4116_4116,1
10478.848000000016,4117_4117,1
10479.878000000015,4118_4118,1
10479.718000000015,4119_4119,1
10478.758000000016,4120_4120,1
10472.398000000016,4121_4121,1
10474.888000000015,4122_4122,1
10457.018000000016,4123_4123,1
10455.878000000015,4124_4124,1
10452.578000000016,4125_4125,1
10456.248000000016,4126_4126,1
10459.598000000016,4127_4127,1
10459.488000000016,4128_4128,1
10464.968000000015,4129_4129,1
10468.488000000016,4130_4130,1
10466.988000000014,4131_4131,1
10474.398000000014,4132_4132,1
10478.208000000011,4133_4133,1
10476.438000000016,4134_4134,1
10480.348000000016,4135_4135,1
10484.388000000015,4136_4136,1
10481.198000000017,4137_4137,1
10477.938000000016,4138_4138,1
10477.088000000014,4139_4139,1
10474.568000000016,4140_4140,1
10477.341000000017,4141_4141,1
10469.911000000016,4142_4142,1
10473.311000000014,4143_4143,1
10474.371000000014,4144_4144,1
10471.991000000013,4145_4145,1
10472.451000000014,4146_4146,1
10471.061000000012,4147_4147,1
10473.411000000013,4148_4148,1
10475.881000000012,4149_4149,1
10475.511000000011,4150_4150,1
10477.581000000013,4151_4151,1
10476.421000000011,4152_4152,1
10470.781000000012,4153_4153,1
10429.181000000011,4154_4154,1
10435.461000000012,4155_4155,1
10431.431000000011,4156_4156,1
10437.681000000011,4157_4157,1
10442.49100000001,4158_4158,1
10442.14100000001,4159_4159,1
10440.80100000001,4160_4160,1
10443.32100000001,4161_4161,1
10453.701000000012,4162_4162,1
10448.24100000001,4163_4163,1
10447.72100000001,4164_4164,1
10453.161000000013,4165_4165,1
10453.861000000012,4166_4166,1
10451.311000000012,4167_4167,1
10442.851000000011,4168_4168,1
10452.221000000012,4169_4169,1
10448.23100000001,4170_4170,1
10446.941000000012,4171_4171,1
10451.841000000011,4172_4172,1
10448.478000000012,4173_4173,1
10449.31800000001,4174_4174,1
10436.42800000001,4175_4175,1
10430.358000000013,4176_4176,1
10425.738000000012,4177_4177,1
10427.391000000012,4178_4178,1
10424.488000000012,4179_4179,1
10436.568000000012,4180_4180,1
10439.108000000013,4181_4181,1
10446.738000000014,4182_4182,1
10448.728000000014,4183_4183,1
10455.518000000016,4184_4184,1
10458.378000000012,4185_4185,1
10458.058000000014,4186_4186,1
10453.758000000014,4187_4187,1
10456.908000000014,4188_4188,1
10462.608000000017,4189_4189,1
10457.848000000016,4190_4190,1
10452.158000000014,4191_4191,1
10452.771000000015,4192_4192,1
10451.821000000014,4193_4193,1
10446.101000000015,4194_4194,1
10446.781000000015,4195_4195,1
10444.521000000015,4196_4196,1
10442.511000000017,4197_4197,1
10443.164000000015,4198_4198,1
10440.924000000014,4199_4199,1
10439.934000000014,4200_4200,1
10443.994000000012,4201_4201,1
10439.354000000014,4202_4202,1
10436.444000000014,4203_4203,1
10431.844000000014,4204_4204,1
10431.924000000014,4205_4205,1
10428.594000000014,4206_4206,1
10429.604000000014,4207_4207,1
10422.294000000014,4208_4208,1
10424.654000000011,4209_4209,1
10425.777000000013,4210_4210,1
10425.747000000014,4211_4211,1
10422.817000000014,4212_4212,1
10414.717000000011,4213_4213,1
10408.097000000012,4214_4214,1
10400.717000000011,4215_4215,1
10392.227000000014,4216_4216,1
10402.927000000012,4217_4217,1
10409.837000000014,4218_4218,1
10403.157000000014,4219_4219,1
10396.377000000011,4220_4220,1
10396.427000000014,4221_4221,1
10393.014000000014,4222_4222,1
10401.054000000016,4223_4223,1
10396.964000000014,4224_4224,1
10398.804000000016,4225_4225,1
10395.404000000017,4226_4226,1
10400.284000000014,4227_4227,1
10397.374000000014,4228_4228,1
10396.224000000013,4229_4229,1
10381.984000000011,4230_4230,1
10384.514000000014,4231_4231,1
10378.974000000013,4232_4232,1
10382.764000000014,4233_4233,1
10389.954000000012,4234_4234,1
10397.234000000011,4235_4235,1
10395.314000000011,4236_4236,1
10393.054000000013,4237_4237,1
10398.684000000014,4238_4238,1
